d3mIndex,video_file,activity_label
0,brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_0.avi.mp4,brush_hair
1,brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_1.avi.mp4,brush_hair
2,brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_2.avi.mp4,brush_hair
3,brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_0.avi.mp4,brush_hair
4,brush_hair/atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1.avi.mp4,brush_hair
5,brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3.avi.mp4,brush_hair
6,brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0.avi.mp4,brush_hair
7,brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi.mp4,brush_hair
8,brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2.avi.mp4,brush_hair
9,brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3.avi.mp4,brush_hair
10,brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1.avi.mp4,brush_hair
11,brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2.avi.mp4,brush_hair
12,brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0.avi.mp4,brush_hair
13,brush_hair/Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0.avi.mp4,brush_hair
14,brush_hair/Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1.avi.mp4,brush_hair
15,brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1.avi.mp4,brush_hair
16,brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2.avi.mp4,brush_hair
17,brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4.avi.mp4,brush_hair
18,brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3.avi.mp4,brush_hair
19,brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0.avi.mp4,brush_hair
20,brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6.avi.mp4,brush_hair
21,brush_hair/Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5.avi.mp4,brush_hair
22,brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_0.avi.mp4,brush_hair
23,brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_1.avi.mp4,brush_hair
24,brush_hair/brushing_hair_2_brush_hair_h_nm_np1_ba_med_2.avi.mp4,brush_hair
25,brush_hair/brushing_hair_brush_hair_f_cm_np2_ri_goo_0.avi.mp4,brush_hair
26,brush_hair/brushing_hair_brush_hair_f_nm_np2_ba_goo_2.avi.mp4,brush_hair
27,brush_hair/brushing_hair_brush_hair_f_nm_np2_ba_goo_4.avi.mp4,brush_hair
28,brush_hair/brushing_hair_brush_hair_f_nm_np2_ri_goo_1.avi.mp4,brush_hair
29,brush_hair/brushing_hair_brush_hair_f_nm_np2_ri_goo_3.avi.mp4,brush_hair
30,brush_hair/Brushing_Hair_with_Beth_brush_hair_h_nm_np1_le_goo_0.avi.mp4,brush_hair
31,brush_hair/Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_1.avi.mp4,brush_hair
32,brush_hair/Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_2.avi.mp4,brush_hair
33,brush_hair/Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_0.avi.mp4,brush_hair
34,brush_hair/Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_1.avi.mp4,brush_hair
35,brush_hair/Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_2.avi.mp4,brush_hair
36,brush_hair/Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_fr_goo_0.avi.mp4,brush_hair
37,brush_hair/Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_1.avi.mp4,brush_hair
38,brush_hair/Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_2.avi.mp4,brush_hair
39,brush_hair/brushing_jrs_hair_brush_hair_u_cm_np2_le_goo_1.avi.mp4,brush_hair
